"PROJ_ID","MONTH_DT","SCHED_START","SCHED_FINISH","ACTUAL_START","ACTUAL_FINISH"
"Proj S14-1",03/31/2014,01/01/2014,03/21/2014,01/01/2014,03/21/2014
"Proj S2-1",03/31/2014,01/13/2014,02/28/2014,01/01/2014,03/07/2014
"Proj S2-2",04/30/2014,03/17/2014,04/25/2014,03/01/2014,04/25/2014
"Proj S2-3",06/30/2014,05/19/2014,06/27/2014,05/05/2014,06/27/2014
"Proj S2-4",08/31/2014,06/30/2014,08/29/2014,06/30/2014,08/29/2014
"Proj S2-5",10/31/2014,09/15/2014,10/24/2014,09/01/2014,10/24/2014
"Proj S34-2",11/30/2014,01/27/2014,11/14/2014,11/01/2013,11/14/2014
"Proj S65-1",11/30/2014,11/11/2013,01/31/2014,11/04/2013,11/10/2014
"Proj S65-2",04/30/2014,01/16/2014,04/04/2014,01/01/2014,04/04/2014
"Proj S65-3",06/30/2014,03/12/2014,06/06/2014,02/01/2014,06/06/2014
"Proj S65-4",08/31/2014,05/12/2014,08/08/2014,04/28/2014,08/08/2014
"Proj S65-5",10/31/2014,07/14/2014,10/10/2014,07/01/2014,10/10/2014
"Proj S15-1",02/28/2014,12/23/2013,01/31/2014,12/16/2013,02/28/2014
"Proj S15-2",05/31/2014,03/24/2014,04/30/2014,01/01/2014,05/16/2014
"Proj S15-3",07/31/2014,06/23/2014,07/31/2014,06/02/2014,07/31/2014
"Proj S15-4",10/31/2014,09/22/2014,10/31/2014,09/01/2014,10/31/2014
"Proj S66-1",06/30/2014,02/01/2014,06/06/2014,01/01/2014,06/06/2014
"Proj S66-2",10/31/2014,07/01/2014,10/10/2014,07/01/2014,10/10/2014
"Proj S56-1",09/30/2014,08/10/2014,08/10/2014,01/15/2014,09/30/2014
"Proj S56-2",07/31/2014,02/24/2014,07/31/2014,01/01/2014,07/31/2014
"Proj S56-3",08/31/2014,07/17/2014,07/24/2014,01/15/2014,08/31/2014
"Proj S16-0",10/31/2014,01/24/2015,01/25/2015,06/02/2014,10/25/2014
"Proj S16-0",12/31/2014,10/25/2014,10/25/2014,05/08/2014,12/31/2014
"Proj S16-3",09/30/2014,01/02/2014,12/31/2014,11/18/2013,09/04/2014
"Proj S16-4",09/30/2014,01/02/2014,04/30/2014,10/01/2013,09/30/2014
"Proj S16-7",08/31/2014,05/19/2014,12/31/2014,02/28/2014,08/04/2014
"Proj S26-1",08/31/2014,09/01/2013,05/31/2014,08/01/2013,08/12/2014
"Proj S11-1",10/31/2014,01/01/2014,09/30/2014,01/07/2013,10/31/2014
"Proj S11-2",10/31/2014,06/23/2013,10/15/2014,06/23/2013,10/15/2014
"Proj S11-3",10/31/2014,09/01/2013,10/14/2014,09/01/2013,10/14/2014
"Proj S57-1",10/31/2014,12/23/2013,08/29/2014,12/23/2013,10/03/2014
"Proj S27-1",02/28/2014,10/16/2013,02/09/2014,10/16/2013,02/20/2014
"Proj S27-2",03/31/2014,03/03/2014,03/22/2014,09/30/2013,03/25/2014
"Proj S27-3",05/31/2014,11/22/2013,05/30/2014,11/22/2013,05/13/2014
"Proj S27-4",06/30/2014,04/04/2014,07/11/2014,04/04/2014,06/13/2014
"Proj S27-5",07/31/2014,01/24/2014,07/31/2014,01/24/2014,07/22/2014
"Proj S27-6",09/30/2014,06/20/2014,09/19/2014,06/20/2014,09/15/2014
"Proj S27-7",10/31/2014,04/25/2014,10/31/2014,04/25/2014,10/27/2014
"Proj S68-0",12/31/2014,11/25/2014,11/25/2014,10/17/2014,12/22/2014
"Proj S68-1",09/30/2014,04/24/2014,09/30/2014,04/24/2014,09/30/2014
"Proj S68-2",12/31/2014,10/17/2014,12/22/2014,10/17/2014,12/03/2014
